,경도,위도,행정동코드
76214,126.739,35.4203,45790250
76215,126.712,35.4268,45790250
76216,126.704,35.415,45790250
76217,126.739,35.4221,45790250
76218,126.736,35.4207,45790250
76219,126.729,35.4215,45790250
76220,126.728,35.4315,45790250
76221,126.698,35.4276,45790250
76222,126.696,35.4229,45790250
76223,126.687,35.4348,45790250
76224,126.693,35.4348,45790250
76225,126.69,35.4279,45790250
76226,126.7,35.449,45790250
76227,126.71,35.4363,45790250
76228,126.707,35.4372,45790250
76229,126.711,35.4304,45790250
76230,126.711,35.4324,45790250
76231,126.709,35.4308,45790250
76232,126.707,35.4322,45790250
76233,126.694,35.4426,45790250
76234,126.7,35.4417,45790250
76235,126.7,35.4407,45790250
76236,126.7,35.4388,45790250
76237,126.694,35.437,45790250
76238,126.694,35.436,45790250
76239,126.697,35.4366,45790250
76240,126.7,35.4367,45790250
76241,126.695,35.4338,45790250
76242,126.724,35.3906,45790310
76243,126.698,35.515,45790400
76244,126.702,35.5217,45790400
76245,126.561,35.414,45790330
76246,126.562,35.4141,45790330
76247,126.514,35.3784,45790340
76248,126.544,35.3329,45790380
76249,126.515,35.5309,45790390
76250,126.649,35.3728,45790370
76251,126.71,35.4367,45790250
76252,126.71,35.4358,45790250
76254,126.704,35.4376,45790250
76255,126.708,35.4363,45790250
76256,126.709,35.4314,45790250
76257,126.699,35.439,45790250
76258,126.698,35.4312,45790250
76259,126.696,35.4326,45790250
76260,126.695,35.4263,45790250
76261,126.7,35.4302,45790250
76262,126.7,35.4313,45790250
76263,126.699,35.4338,45790250
76264,126.714,35.437,45790250
76265,126.715,35.4358,45790250
76266,126.712,35.4371,45790250
76267,126.71,35.4381,45790250
76268,126.706,35.4339,45790250
76269,126.71,35.434,45790250
76270,126.711,35.434,45790250
76271,126.713,35.438,45790250
77096,126.866,35.5845,45180101
77097,126.853,35.5803,45180101
77098,126.855,35.5804,45180101
77099,126.857,35.5761,45180101
77100,126.86,35.565,45180102
77101,126.853,35.5663,45180101
77102,126.868,35.5616,45180103
77103,126.845,35.5732,45180105
77104,126.848,35.5767,45180105
77105,126.852,35.557,45180104
81529,126.725,35.9828,45130130
81949,127.657,36.0068,45730250
81950,127.646,36.021,45730250
81951,127.667,36.003,45730250
81952,127.662,36.0113,45730250
81953,127.664,36.0083,45730250
81954,127.688,36.0291,45730250
81955,127.688,36.0143,45730250
81956,127.656,35.8649,45730340
81957,127.657,35.9351,45730330
81958,127.663,35.9578,45730330
81959,127.758,35.911,45730320
81960,127.773,35.9091,45730320
81961,127.762,35.9073,45730320
81962,127.846,35.9696,45730310
81963,127.663,36.0118,45730250
81964,127.658,36.01,45730250
81965,127.656,36.0075,45730250
81966,127.663,36.0115,45730250
81967,127.666,36.0102,45730250
81968,127.67,36.0093,45730250
81969,127.663,36.0137,45730250
81970,127.667,36.0026,45730250
81971,127.654,35.8675,45730340
81972,127.654,35.8703,45730340
81976,127.613,35.9279,45730330
81977,127.562,35.973,45730350
81978,127.787,36.0102,45730320
81979,127.849,35.9693,45730310
81980,127.842,35.9529,45730310
